rank,name,star_score,movies,average_billing
1,Shen Teng,282,3,1.7
2,Wu Jing,281,3,1.3
3,Zhu Yilong,276,4,2.0
4,Lei Jiayin,271,5,1.6
5,Jason Momoa,271,3,6.0
6,Patrick Wilson,255,4,1.5
7,Michelle Rodriguez,255,3,3.7
8,Jason Statham,233,3,3.3
9,Viola Davis,229,4,4.3
10,Ma Li,224,4,1.5
11,Margot Robbie,221,5,4.8
12,Hiroyuki Sanada,214,3,7.7
13,Timothée Chalamet,211,3,3.7
14,Zoe Saldana,204,3,3.3
15,Andy Lau,198,5,1.6
16,Chris Pratt,195,2,1.0
17,Dave Bautista,193,3,3.3
18,Vin Diesel,192,2,1.0
19,Tyrese Gibson,192,2,4.0
20,Jordana Brewster,192,2,4.5
21,Chris ‘Ludacris’ Bridges,192,2,7.0
22,John Cena,192,2,7.0
23,Simu Liu,192,2,9.5
24,Tom Cruise,190,2,1.0
25,Tom Holland,187,2,1.0
26,Zhang Yi,186,3,1.0
27,Javier Bardem,183,2,10.5
28,Wang Baoqiang,173,2,1.0
29,David Harbour,171,3,2.0
30,Rachel Zegler,170,3,3.3
31,Brian Tyree Henry,169,2,4.5
32,Jackson Yee,168,2,1.5
33,Donnie Yen,168,2,2.0
34,Dwayne Johnson,167,2,1.0
35,Emily Blunt,167,2,1.5
36,Jia Ling,166,2,2.0
37,Glen Powell,165,2,2.5
38,Paul Rudd,165,2,3.0
39,Don Lee,163,3,4.0
40,Ezra Miller,162,2,2.0
41,Emma Mackey,161,2,9.0
42,Keanu Reeves,157,2,1.0
43,Brie Larson,157,2,7.5
44,Letitia Wright,156,2,7.0
45,Liu Haoran,142,2,1.5
46,Tenoch Huerta,142,2,5.0
47,Salma Hayek,140,3,3.0
48,Jared Leto,139,3,3.0
49,Jack Whitehall,137,2,2.5
50,Florence Pugh,136,2,1.5
51,Ni Ni,134,2,2.0
52,Wang Yibo,133,3,1.7
53,Alexander Skarsgård,131,2,1.0
54,Ryan Reynolds,129,2,1.0
55,Wei Xiang,129,2,2.5
56,Huang Bo,128,3,1.0
57,Channing Tatum,127,3,1.3
58,Zhang Xiaofei,126,3,1.7
59,Lea Seydoux,124,2,5.0
60,Colin Farrell,123,2,2.0
61,Gemma Chan,122,2,5.0
62,Emma Stone,120,2,1.0
63,Brad Pitt,117,2,1.0
64,Jamie Lee Curtis,117,2,1.0
