rank,name,star_score,movies,average_billing
1,Timothée Chalamet,242,3,1.0
2,Lei Jiayin,242,4,1.8
3,Jason Statham,240,3,3.3
4,Dave Bautista,197,3,3.7
5,Shen Teng,181,2,1.0
6,Jason Momoa,180,2,2.5
7,Harrison Ford,179,2,5.0
8,Simu Liu,179,2,10.0
9,Antonio Banderas,177,3,3.7
10,Ryan Reynolds,169,2,1.5
11,Ryan Gosling,169,2,1.5
12,Wang Yibo,167,4,1.8
13,Kingsley Ben-Adir,167,2,8.5
14,Anthony Ramos,165,2,2.0
15,Joseph Quinn,162,2,3.5
16,Paul Rudd,159,2,1.0
17,Bill Murray,159,2,4.5
18,Michelle Rodriguez,159,2,4.5
19,Brie Larson,157,2,7.5
20,Willem Dafoe,156,3,10.0
21,Bill Skarsgård,153,2,1.5
22,Sabrina Zhuang,149,2,2.5
23,Glen Powell,148,2,1.5
24,Denzel Washington,146,2,2.5
25,Dua Lipa,144,2,9.5
26,Tony Leung,143,2,2.0
27,Donnie Yen,143,2,2.0
28,Patrick Wilson,142,2,1.5
29,Andy Lau,140,4,1.8
30,John Cena,140,2,8.5
31,Joaquin Phoenix,139,2,1.0
32,Jenna Ortega,139,2,3.5
33,Zendaya,138,2,1.5
34,Cailee Spaeny,138,2,2.0
35,Ma Li,134,2,2.5
36,Catherine O'Hara,129,2,4.5
37,Rachel Zegler,125,2,2.0
38,Ariana DeBose,125,2,4.5
39,Florence Pugh,120,2,4.0
40,Lucy Alexis Liu,117,2,5.0
41,"O'Shea Jackson, Jr.",116,2,2.0
42,Janice Man,115,2,3.5
43,Sydney Sweeney,114,2,1.5
44,Ariana Greenblatt,108,2,13.0
45,Naomi Ackie,106,2,1.5
46,Halle Bailey,106,2,4.0
47,Sophie Thatcher,105,2,1.5
48,Samuel L. Jackson,105,2,6.0
49,Viola Davis,104,2,7.0
50,Margot Robbie,103,2,9.5
51,Chengpeng Dong (董成鹏),101,3,1.0
52,Will Ferrell,100,1,3.0
53,Alexandra Shipp,100,1,4.0
54,Kate McKinnon,100,1,5.0
55,Ana Kayne,100,1,6.0
56,Hari Nef,100,1,7.0
57,Emma Mackey,100,1,8.0
58,Issa Rae,100,1,10.0
59,Ritu Arya,100,1,11.0
60,Michael Cera,100,1,12.0
61,Nicola Coughlan,100,1,14.0
62,Sharon Rooney,100,1,15.0
63,Ncuti Gatwa,100,1,17.0
64,Scott Evans,100,1,19.0
65,Emerald Fennell,100,1,20.0
66,Jamie Demetriou,100,1,21.0
67,Connor Swindells,100,1,22.0
68,America Ferrera,100,1,23.0
69,Hugh Jackman,99,1,2.0
70,Cillian Murphy,98,1,1.0
71,Anthony Mackie,98,1,1.0
72,Danny Ramirez,98,1,2.0
73,Shira Haas,98,1,3.0
74,Giancarlo Esposito,98,1,7.0
75,Tim Blake Nelson,98,1,8.0
76,Chris Pratt,97,1,1.0
77,Zoe Saldana,97,1,2.0
78,Karen Gillan,97,1,4.0
79,Pom Klementieff,97,1,5.0
80,Sean Gunn,97,1,8.0
81,Vin Diesel,96,1,1.0
82,Cynthia Erivo,96,1,1.0
83,Ariana Grande,96,1,2.0
84,Jordana Brewster,96,1,2.0
85,Aaron Taylor-Johnson,96,2,2.5
86,Daniela Melchior,96,1,3.0
87,Tyrese Gibson,96,1,5.0
88,Sung Kang,96,1,6.0
89,Chris ‘Ludacris’ Bridges,96,1,10.0
90,Alan Ritchson,96,1,11.0
91,Scott Eastwood,96,1,12.0
92,Charlize Theron,96,1,13.0
93,Renée Zellweger,95,1,1.0
94,Rebecca Ferguson,95,1,3.0
95,Josh Brolin,95,1,4.0
96,Austin Butler,95,1,5.0
97,Kristofer Hivju,95,2,7.5
98,Christopher Walken,95,1,8.0
99,Lea Seydoux,95,1,9.0
100,Stellan Skarsgård,95,1,10.0
101,Charlotte Rampling,95,1,11.0
102,Jackson Yee,94,1,2.0
103,Yi Zhang,94,1,3.0
104,Yue Yunpeng,94,1,5.0
105,Xiao Zhang,93,1,1.0
106,Rebecca Hall,93,1,1.0
107,Brian Tyree Henry,93,1,2.0
108,Dan Stevens,93,1,3.0
109,Kaylee Hottle,93,1,4.0
110,Zhang Wenxin,93,1,4.0
111,Fala Chen,93,1,5.0
112,Alan Aruna,93,1,5.0
113,Ada Choi,93,1,6.0
114,Alex Ferns,93,1,6.0
115,Gerard Butler,92,1,1.0
116,Jonah Hauer-King,92,1,2.0
117,Javier Bardem,92,1,7.0
118,Melissa McCarthy,92,1,8.0
119,Tom Cruise,91,1,1.0
120,Robert Pattinson,91,1,1.0
121,Steven Yuen,91,1,3.0
122,Toni Collette,91,1,4.0
123,Mark Ruffalo,91,1,5.0
124,Jim Carrey,91,1,5.0
125,Lee Majdoub,91,1,6.0
126,Krysten Ritter,91,1,7.0
127,James Marsden,91,1,8.0
128,Tika Sumpter,91,1,9.0
129,Natasha Rothwell,91,1,10.0
130,Shemar Moore,91,1,11.0
131,Jia Ling,90,1,1.0
132,Keke Palmer,90,1,1.0
133,SZA,90,1,2.0
134,Wu Jing,90,1,2.0
135,Liu Xuejian,90,1,3.0
136,Lay Zhang,89,1,1.0
137,Tom Hardy,89,1,1.0
138,Gina Jin,89,1,2.0
139,Hugh Grant,89,2,4.5
140,Mark Wahlberg,88,1,1.0
141,Zhu Yilong,88,1,1.0
142,Ni Ni,88,1,2.0
143,Theo James,87,1,1.0
144,Tina Fey,87,2,5.5
145,Paul Mescal,86,1,1.0
146,Pedro Pascal,86,1,2.0
147,Evangeline Lilly,86,1,2.0
148,Jonathan Majors,86,1,3.0
149,Connie Nielsen,86,1,3.0
150,Kathryn Newton,86,1,4.0
151,Fred Hechinger,86,1,6.0
152,Michelle Pfeiffer,86,1,6.0
153,Michael Douglas,86,1,7.0
154,Keanu Reeves,85,1,1.0
155,Michael Keaton,85,1,1.0
156,Jack Quaid,85,1,1.0
157,Winona Ryder,85,1,2.0
158,Ian McShane,85,1,4.0
159,Justin Theroux,85,1,5.0
160,Shamier Anderson,85,1,5.0
161,Monica Bellucci,85,1,6.0
162,Laurence Fishburne,85,1,6.0
163,Rina Sawayama,85,1,7.0
164,Hiroyuki Sanada,85,1,8.0
165,Clancy Brown,85,1,9.0
166,Lance Reddick,85,1,10.0
167,Christopher Abbott,84,1,1.0
168,Will Smith,84,1,1.0
169,Martin Lawrence,84,1,2.0
170,Shah Rukh Khan,83,2,1.0
171,Freya Allan,83,1,2.0
172,Dominique Fishback,83,1,2.0
173,Daisy Edgar-Jones,82,1,2.0
174,Jason Schwartzman,82,2,2.5
175,Ke Huy Quan,81,1,1.0
176,Phoebe Waller-Bridge,81,1,2.0
177,John Rhys-Davies,81,1,4.0
178,Toby Jones,81,1,5.0
179,Boyd Holbrook,81,1,6.0
180,Ethann Isidore,81,1,7.0
181,Mads Mikkelsen,81,1,8.0
182,Blake Lively,80,1,1.0
183,Tom Blyth,79,1,1.0
184,Woody Harrelson,79,1,1.0
185,Finn Cole,79,1,3.0
186,Hunter Schafer,79,1,3.0
187,Peter Dinklage,79,1,5.0
188,Josh Andrés Rivera,79,1,6.0
189,Wang Baoqiang,78,1,1.0
190,Lupita Nyong'o,76,1,1.0
191,Matthew Lillard,76,1,1.0
192,Song Hye-kyo,76,1,1.0
193,Jeon Yeo-Bin (전여빈),76,1,2.0
194,Josh Hutcherson,76,1,2.0
195,Michael B. Jordan,74,1,1.0
196,Lady Gaga,74,1,2.0
197,Ezra Miller,73,1,1.0
198,Ethan Juan,73,2,1.5
199,Ernie Hudson,73,1,2.0
200,Dan Aykroyd,73,1,3.0
201,Finn Wolfhard,73,1,5.0
202,Carrie Coon,73,1,6.0
203,Mckenna Grace,73,1,7.0
204,Taissa Farmiga,72,1,1.0
205,Dwayne Johnson,71,1,1.0
206,Taylor Swift,71,1,1.0
207,Chris Evans,71,1,2.0
208,Kiernan Shipka,71,1,3.0
209,J.K. Simmons,71,1,4.0
210,Bonnie Hunt,71,1,5.0
211,Cailey Fleming,70,1,1.0
212,John Krasinski,70,1,3.0
213,James Caviezel,69,1,1.0
214,Emily Blunt,69,1,2.0
215,Nicholas Hoult,68,1,2.0
216,Lily-Rose Depp,68,1,3.0
217,Emma Corrin,68,1,5.0
218,Hugh Bonneville,66,1,1.0
219,Emily Mortimer,66,1,2.0
220,Julie Walters,66,1,3.0
221,Avantika,66,2,4.0
222,Olivia Colman,66,1,4.0
223,Anya Taylor-Joy,65,1,1.0
224,Chris Hemsworth,65,1,2.0
225,Chris Pine,63,1,1.0
226,Rege-Jean Page,63,1,3.0
227,Justice Smith,63,1,4.0
228,Sophia Lillis,63,1,5.0
229,Chloe Coleman,63,1,6.0
230,Daisy Head,63,1,7.0
231,Teyonah Parris,61,1,2.0
232,Iman Vellani,61,1,4.0
233,Huang Bo,60,2,1.0
234,Naomi Scott,60,1,1.0
