primaryTitle,titleType,genres,directors,writers,averageRating,numVotes,actors,original_language,production_companies,release_date,budget,revenue,runtime,keywords,trailer_views,trailer_likes
Neptune's Daughter,movie,Fantasy,Herbert Brenon,Leslie T. Peacocke,5.5,71.0,"Katherine Lee,William E. Shay,Herbert Brenon,Harry Mainhall,Ricardo Montalban,Annette Kellerman,Esther Williams,Keenan Wynn,Red Skelton,Bryant Washburn,Harry Cashman,Michael Chaturantabut,Alison MacInnis,Kamera Walton,William Walters,Anna Wharton,William Welsh,Leah Baird,Ruth Stonehouse,Millie Liston,Betty Garrett,Edmund Mortimer,Mike Mazurki,Keith D. Robinson,Sasha Craig,Helen Dunbar,Mel Blanc,Fred Wulf,Ron Rogge,Sean Cw Johnson,Lewis Hooper,Francis X. Bushman,Ted de Corsia,George Mann,Monica Louwerens,Xavier Cugat,Rhett Fisher,Martha Russell,Jennifer L. Yen,Mrs. Allen Walker",en,Universal Film Manufacturing Company,1914-04-25,2221000.0,5773000.0,95.0,black and white-underwater-swimming-silent film-partially lost film-public domain,2021111.1057784425,793041.105919788
The Spoilers,movie,"Drama,Western",Colin Campbell,"Lanier Bartlett,Rex Beach",5.8,117.0,"Randall 'Tex' Cobb,Emily Kuroda,Russell Simpson,Lloyd Ingraham,Philip Lowrie,Joan Ann Maynard,John Elliott,William 'Stage' Boyd,Marshall Farnum,Randolph Scott,Marlene Dietrich,George Cleveland,Billy Hamon,Bessie Eyton,Ellen Corby,Harry Carey,Trevor Clarke,George Irving,Karen Berlinski,Ford Sterling,Tom Heaton,Bozo the Bear,Kathlyn Williams,Harry Green,Anna Q. Nilsson,Raymond Walburn,Walter Wonderman,Tony Bramble,Kay Johnson,Anne Baxter,Dana Elcar,Number Seven,Barbara Bedford,Richard Thomas,Mary Beth McDonough,Margaret Lindsay,Samuel S. Hinds,Allan Lysell,Michael Learned,Richard Dean Anderson,Robert McKim,Thomas Rosales Jr.,David W. Harper,Ray Danton,James Kirkwood,Noah Beery,Eric Scott,William Ryno,Norval MacGregor,Branscombe Richmond,Michael Sicoly,William Farnum,William S. Taylor,Jack McDonald,Wheeler Oakman,Carl Benton Reid,Mitchell Lewis,Gary Cooper,John Wayne,Ralph Waite,Denver Pyle,Betty Compson,Slim Summerville,Barbara Britton,Arnold Peters,Judy Norton,John McIntire,Jon Walmsley,Oscar Apfel,Ken Lynch,Gregory Munroe,Sylvester Allen,Robert Edeson,Jeff Chandler,Carmen Blanck,Dan Haggerty,Will Geer,Forrest Lewis,Wallace MacDonald,Rory Calhoun,Wallace Ford,Don Shanks,Milton Sills,Tom Santschi,Frank Clark,Richard Barthelmess",en,Selig Polyscope Company,1914-04-10,0.0,4100000.0,110.0,alaska-silent film-nome alaska-saloon brawl-klondike gold rush-partially lost film,-854807.9663663368,838236.2334303362
The Birth of a Nation,movie,"Drama,War",D.W. Griffith,"Thomas Dixon Jr.,D.W. Griffith,Frank E. Woods,Woodrow Wilson,John M. Hay,John G. Nicolay",6.1,27239.0,"Miriam Cooper,Esther Scott,Hannes Hatje,Jackie Earle Haley,Wallace Reid,Penelope Ann Miller,Henry B. Walthall,Mark Boone Junior,Dwight Henry,Armie Hammer,Robert Harron,Lillian Gish,Patrick Brogan,Walter Long,Ralph Lewis,George Siegmann,Angelika Düsing,Aja Naomi King,Nate Parker,Nick Busch,Christoph Hemmerling,Peter Flak,Colman Domingo,Mary Alden,Mae Marsh,Aunjanue Ellis-Taylor",en,Epoch Film Co.,1915-02-08,100000.0,11000000.0,193.0,ku klux klan-southern usa-army-racist-silent film-american civil war-reconstruction era,6904190.273216451,3549670.229191111
The Cheat,movie,"Drama,Romance",Cecil B. DeMille,"Hector Turnbull,Jeanie Macpherson",6.5,2931.0,"Tracy Stratford,Maimunah Bagharib,Abdel Fatah Al Kasri,Cat Lemieux,Harvey Stephens,Bindu Desai,Dick La Reno,Barbara Billingsley,Rico Alaniz,Yunus Taha Karaaslan,Jack Holt,Marcel Duhamel,C.S. Dubey,Don Philps,Elana A. Mugdan,Ralph Montgomery,Ken James,Tao Porchon,Joe Cobden,Davide Chiazzese,William Ingersoll,Helen Dunbar,Marc-André Boulanger,Yutaka Abe,Hector Araujo,Bill Kerr,Patrick Raynal,Ethel Phillips,Abdel Salam El-Nabulsi,Stanley Walpole,Frank Lovejoy,Jack Dean,Ric Carrott,Lucas Gridoux,Camilla Rountree,James Philbrook,Cindy Carol,Robert Schable,Grace Lynn Kung,Beverly Washburn,Irene Maiorino,Lucien Nat,Brian Tochi,Jean Willes,Hazel Childers,Dustin Butoryak,Ed Randolph,John Berwick,Andrea Tenuta,Suleiman Naguib,Erika Scheimer,Loretta Young,Sofia Banzhaf,Irving Pichel,Connor Boyle,Anwar Hussain,Sezer Soykok,Jay Fassett,Moushumi Chatterjee,Rudy Germane,Mary Mounib,Pamelyn Ferdin,Brandon Burke,John Beradino,Renato De Simone,Charles Villiers,Farid Shawqi,Pierre Magnier,Hugo Arana,Anthony Blackett,Edward Keane,Chance Jones,Onslow Stevens,Ilhami Uludag,Richard Wayne,Vinod Khanna,Ann Andrews,Juan Manuel Alvarez,Elaine Lee,Fabrizio Gifuni,Stafford Repp,Edward Kimball,Amy Sobol,Ebru Saritas,Eric Greene,Taner Sahin,Michel Galabru,Fannie Ward,Andac Semerci,Lino Musella,Pola Negri,Louis Jouvet,Pier Giorgio Bellocchio,Annarita Vitolo,Lise Delamare,Raymond Hatton,Valérie Mairesse,Nan Boardman,George Henare,Victor Francen,Mimi Shakib,Tallulah Bankhead,Yvonne Peattie,Hanaki Yoshiwara,Judy Stairmand,Uma Dutt,Robert Strange,Sessue Hayakawa,Johnny Sins,Kareem Tristan Alleyne,Jonathan Harris,Harun Can,Pio Stellaccio,Guy Tréjan,Marcos Zucker,Kapa Kitchen,Héctor Tealdi,Huda Sultan,Victor Lanoux,Arthur H. Williams,Anny Duperey,Charles de Rochefort,James Neill,Neslihan Ulusoy,Hind Rostom,Gaia,Kenneth MacDonald,Phillip Pine,Forrest Taylor,Marjorie Bennett,Charles A. Stevenson,Estelle Woods,Jeff Dockum,Guy Oliver,Jankidas,Peter Brooks,Faryal,Peter Nicoll,Rebecca Gilling,Jack Deery,Jess Kirkpatrick,Jorge Abalo,Siegfried Rauch,Virginia Lago,Taha Ulukaya,Carl Esmond,Anthony Lemke,Salvatore Striano,Xavier Deluc,Ranjeet Bedi,Dack Rambo,Maggie Cooper,Dirk Rambo,Claudia Tranchese,Dorothy Cumming,Dana Ong,Jean Brochard,Cem Asan,Keith Lee,Luis Brandoni,Roshan Gidwani,Fallon Bowman,Roland Blanche,Michèle Simonnet,Alba Rohrwacher,Willard Dashiell,Tincho Zabala,Sandy Descher,Grigor Taylor,Ève Francis,Chris Benaud,Ty Henderson,Ramesh Deo,Gérard Hérold",en,Paramount-Jesse L. Lasky Feature Play Company,1915-12-13,17311.0,137365.0,59.0,,30409.601748591773,40408.80200757569
The Girl of the Golden West,movie,"Romance,Western",Cecil B. DeMille,"David Belasco,Cecil B. DeMille",5.4,84.0,"Arthur Stone,Terence Cooper,Tex Driscoll,Raymond Hatton,Russell Simpson,John Kentish,J. Warren Kerrigan,George Cooper,J. Farrell MacDonald,Harry Bannister,Richard Carlyle,Jeanette MacDonald,Ann Harding,Cliff Edwards,John Holmes,Roderick Jones,Anita King,Bob Murphy,Theodore Roberts,Wilfred Lucas,Buddy Ebsen,Jed Prouty,Nelson Eddy,House Peters,Johnnie Walker,Sylvia Breamer,Nigel Brooks,Olin Howland,Walter Pidgeon,Nelson McDowell,Robert Bowman,Mabel Van Buren,Richard L'Estrange,Cecil Holland,Ben Hendricks Jr.,Priscilla Lawson,Rosemary Theby,Jeanie Macpherson,Hector V. Sarno,Sydney Deane,Elaine Malbin,Leo Carrillo,Charles McHugh,William Elmer,Edmund Donlevy,James Rennie,Arthur Housman,Josephine Veasey,Leonard Penn,Dennis Wicks",en,Jesse L. Lasky Feature Play Company,1915-01-04,15110.0,102224.0,45.0,gambling-snowstorm-silent film,15562.208308849404,43542.28735934458
Temptation,movie,"Drama,Romance",Cecil B. DeMille,"Hector Turnbull,William C. de Mille",5.8,25.0,"James Michael,Jack G. Spirtos,Piotr Glowacki,Laetitia Atomix,Kim So-young,Billy Bevan,Odette Khan,Eoghan McQuinn,David Gasman,Frank John,Emma Jackson,Anthony Hankey,Taizô Fukami,Matthew Géczy,Ged Simmons,Johana Lopez,Michael Schermi,Antonin Berval,Imana Breaux,Ron Perlman,Nikolay Velikanov,Dorothy Burr,Diana Zubiri,John Barcroft,Jonathan E.W. Patton,Amanda Hunt,Ashley Ortega,'Slick' Chester,Marek Wlodarczyk,Paul Usher,Michael Glines,Howard Babin,Bengal,Marina Berti,Alice Dixson,Terence Rigby,Nonie Buencamino,Phillips Smalley,Lorenzo Tucker,Jenny Lorenzo,Lucien Dodge,Albert Rudbeck Lindhardt,Thomas Craig,Eric Loya,Joe Hursley,Bridget Turner,Jeff Fahey,Ian Redford,Renato Amoroso,Fran Bennett,Naoto Takenaka,David Keith,Stefania Careddu,Elodie Gabias,Eboni Gasaway,Matthew Scully,John J. Richardson,Kathryn Tucker,Alison Doody,Tyra DaCosta,Trish Stewart,Kristine Reyes,Rowan Schlosberg,Yukana,Bill Fagerbakke,Anthony Taylor-Doxey,Briahne Holland,Richard J. Moir,Frankey Telles,Michael Cerveris,Adam Pascal,Ludwig Stössel,Barbara Scaff,James Andrew Neiger,Jamie Ramsay,Christoph Pieczynski,Yaroslav Boyko,Klairi Deligianni,Tod Butler,Galyn Görg,Masahiko Nishimura,Daniel Garcia,Hiroshi Tachi,Michael Redfern,Samarth Korde,Stephan Lokotsch,Daikan Morishima,Mia de La Vega,Norman Bowler,Gavin Beasley,Yu Asakawa,Taft Rice,Takako Matsu,Hilda Rogers,Miriam Perry Lincoln,Elsie Jane Wilson,John M. Johnson,Nan Boardman,Carlos Douglas,Fabiana Thois,Elmire Vautier,Milly-May McLaughlin,Frances Day,Eileen Percy,Hanna Polk,Chris Casablanca,Shyr Valdez,Caterina Scorsone,Aki Yashiro,Sessue Hayakawa,Ewa Ekwa,Monty Burgess,Maria Ciunelis,Salli Richardson-Whitfield,Samuel Vincent,Alia Raelynn,Sharon Alexander,Annie Miller,Lex Shrapnel,Mitchell Anderson,Stefani Kovalyova,Heather Hunt,Yves Carradine,Etsuko Ichihara,Destiny Amaka,Cheryl BryantBruce,Art Gilmore,Krista Bridges,Chi-Man Poon,Mark Damon,Amer Bosnjak,Paul Byatt,Brian Lafontaine,Sebastian Arcelus,Sharon Mann,Aaron De Groeve,J. Patrick McNamara,Karenina Haniel,Jahbless Ukaegbu,Priva,Tiffany Chapman,Kaori Nazuka,Bob Bradford,Gary Beardsmore,Olivia Del Rio,Ivan Grantovsky,Yun Jeong-hie,Charles La Torre,Adam Hirsch,Yasuko Sawaguchi,Samantha Lopez,Mario Telles,June Elvidge,Zoe Saldaña,Tom Rodriguez,Patricia Durham,Bryant Washburn,Mickey Brantford,Tony Nunes,Tomoaki Maeno,Dmitriy Karpov,Emily Kristopher Hammond,Johnnie B.,Nora Dinca,Dennis Price,Herb Edelman,Dylan Neff,Ilias Mahairas,Lucy Beaumont,Anne Dyson,Janine Gutierrez,Jason Doren,Alexandra Fletcher,Magdalena Cielecka,Christian Campbell,Derrick Monasterio,Aaron Shone,Jean Sobieski,Quinn Larson,Vince Grant,David Lloyd Meredith,Stephanie Sheh,Xian Lim,Jennifer L. Moore,Gianni McLaughlin,Emma Lung,Mirabelle Kirkland,Stephen Tompkinson,Edgar Allan Guzman,Precious Duru,Jerome Thayu,Robert T. Haines,Victoria L. Moya,Natasha Anastasia,Kris Kranjec,Ifeanyi Kalu,Geraldine Farrar,Dan Tei Mensah,Jacques Brière,Broderick Crawford,Matt Dean,Roger Barr,Frank Windsor,Keith David,Yôko Benisawa,Claudio Gora,Merle Oberon,George Brent,Pagan McGrath,Rob Schneider,Nathan Barnatt,Kerry Christianson,Kevin Long,Lawrence Oreva,Lori Alter,Andrea Torres,Artus Frank,Myrtle Sarrosa,Joey Heyworth,Andrew Bishop,Tom Flaherty,Jessica Lee,Toby Schmitz,Graham Bowe,Sebastian Bull,Hidekazu Akai,Anabelle Acosta,Louise Allbritton,Annette Murphy,Faith Hanstater,Alexandra Harlan,Stuart Rigby,Gina Alajar,Shatareia Stokes,Lucy Ameh,Koula Agagiotou,Darryl McCane,Matthew Crompton,John Caesar,Ashlyn Smilowitz,Alan Dobie,Jennylyn Mercado,André Nicolle,Neil Crone,Letitia Argola,Lexa Doig,Nicolai Jandorf,Vincent Alvas,Deven May,Min Jeong,Philip Middlemiss,Shelby Young,Alessandro Sperduti,Juan Rodrigo,Donald Burton,Justin Powell,Salma Mumin,Woody Eney,Justine Bateman,Christian Caputo,Lynn Thomas,Talia Mint,Robert Sean-R. Allen,Hunter Diletti,Garret Dillahunt,Carra Patterson,David Greenlee,Colin Friels,Caroline Langrishe,Olga Vasilevich,Nathaly Cherie,Dennis Trillo,Atsuko Asano,Keiko Hara,Jill Gascoine,Claudia Victrix,Roy Dotrice,Milo O'Shea,Megan Oxenham,Linné Ahlstrand,Alexander D'Andrea,Isabella Møller Hansen,Thom Adcox-Hernandez,Sabina Karwala,Debbie Mouradjian,Orion Radies,Roger Quartey,Arlette Dubreuil,Dafna Rechter,Effie Atherton,Asuka Tanii,Jimmy Lin,Michael Stancliff,Tim Charles,Piotr Stramowski,Tommy Abuel,Dylan Baker,Phil Holliday,Davar Farmani,Royce Cabrera,Te Ahorangi Winitana,Alexander Glazunov,Ron Eldard,John Bentley,Jeanine Ann Mason,Esme Church,Stewart Rome,Matthew Marsh,Jack Leigh,Helena Englert,Ashley Hill,Nigel Humphreys,Suzanne Maddock,Jeff Poole,Ejike Silas Nwogu,Jenny Twigge,Vernon Steele,Jason Dresden,Kana Asumi,Shintarô Asanuma,Sharea Samuels,Oh Ji Myung,Juliette Milord,Banjo Esther,Hiromi Konno,Lois Wilson,Gina Manès,Mike Tan,Dorota Bierkowska,Carry Goossens,Walter Gotell,Andreas Pandopoulos,Benjamin Whitrow,Ernest Joy,Courtney Paige,Eva Novak,Val,Dries de Sutter,Hideyo Amamoto,Dawn Addams,Reza Rooygari,Clive Owen,Olympia Kambouris,Magali Noël,Ben Cotton,Tex",en,Jesse L. Lasky Feature Play Company,1915-12-15,22472.0,102437.0,60.0,lost film,32979.98874153826,36956.12866434809
A Daughter of the Gods,movie,Drama,Herbert Brenon,"Herbert Brenon,Hetty Gray Baker",6.7,72.0,"Katherine Lee,William E. Shay,Jane Lee,Ricca Allen,Marcelle Hontabat,Violet Horner,Stuart Holmes,Millie Liston,Hal De Forest,Annette Kellerman",en,Fox Film Corporation,1916-10-16,1000000.0,1390000.0,180.0,,503460.9094152773,410586.1711967343
Maria Rosa,movie,Drama,Cecil B. DeMille,"Wallace Gilpatrick,Àngel Guimerà,Guido Marburg,William C. de Mille",6.7,31.0,"Ernest Joy,Anita King,Pedro de Cordoba,Marta Angelat,Josep Ballester,Geraldine Farrar,Pep Torrents,Montserrat Carulla,Albert Moya,Francesc Figuerola,Joan Pera,Carles Velat,Wallace Reid,Horace B. Carpenter,James Neill,Pere Alcázar,Miguel Viadé",en,Jesse L. Lasky Feature Play Company,1916-05-07,18575.0,102768.0,50.0,,2940.839020724118,37966.17504727949
Mickey,movie,"Comedy,Drama","F. Richard Jones,James Young","Hampton Del Ruth,J.G. Hawks",6.1,1198.0,"Edna Bennett,Sammee Tong,Tim Rooney,Courtney Griffith,Jay Spece,Adrian Tate,Bobby Van,Dort Clark,Louis Barron,John Scurti,Stephen Chambers,Tyler Foden,Mickey Rooney,Andrea Roth,Lucia Romero,Alexander Roos,Irene Hervey,Eddie Prunoske,Danny Bell,Nicole Greevy,James Hong,Stan Kelly,Roxana Popescu,Brian Nash,Dennis Hill,Rose Hobart,Emmaline Henry,Denis Leary,William Colvin,Amir Blumenfeld,Callum Horncastle,Gill Baker,Shawn Salinas,Steven Pasquale,Luifer Rodríguez,Michael Lombardi,Leon Tyler,Mabel Normand,Matt Randall,Peter Sarty,Jake Hurwitz,John Sutton,Luke Sholl,Daniel Sunjata,Minta Durfee,Beverly Wills,Tj Bledsoe,Adam Ferrara,Daycia D. Harley,Larenz Tate,Minnie Devereaux,Laura La Varnie,Luke Burge,Antonio Esquivias,Skip Homeier,Aman Chaudhry,Lenny Clarke,Lois Butler,Gerald Maliqi,Wheeler Oakman,Wayne Stam,Andrew Call,Stevey Hunter,Shadii Samaad,Daniel V. Graulau,Callie Thorne,Ursula Calder,Jason Kypros,Lew Cody,Harry Connick Jr.,Joe Bordeaux,Courtney Lin,Hattie McDaniel,Mike Starr,Tom Kennedy,Mark Joy,Michelle Johnson,Sarah Davenport,Alan Reed,Bill Goodwin,Spencer House,George Nichols,Aaron Allen,Spencer Weitzel,Kelby Joseph",en,Mabel Normand Feature Film Company,1918-08-01,250000.0,8000000.0,71.0,new york city-horse race-fish out of water-orphan-silent film,4389623.044343298,2408817.7975008064
Broken Blossoms,movie,"Drama,Romance",D.W. Griffith,"Thomas Burke,D.W. Griffith",7.2,11398.0,"Bertha Belmore,C.V. France,Edward Peil Sr.,George Beranger,Ernest Butterworth,Emlyn Williams,Lillian Gish,Wilbur Higby,Norman Selby,Arthur Margetson,Gibb McLaughlin,Frederic Hamen,Ernest Jay,Donald Crisp,Dolly Haas,Ernest Sefton,Basil Radford,Edith Sharpe,Arthur Howard,Richard Barthelmess",en,United Artists-D.W. Griffith Productions,1919-05-13,0.0,2400000.0,89.0,london england-suicide-china-boxer-buddhist-murder-racism-black and white-alcoholic-silent film-based on short story,602262.0916646358,921623.1281644062
