Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0634240,2018-06-28,2024-03-09,"158890 points","Christopher Nolan","Tenet","July 30, 1970"
2,nm0000229,2018-06-05,2022-11-07,"135048 points","Steven Spielberg","Schindler's List","December 18, 1946"
3,nm0000233,2018-06-24,2022-04-03,"111739 points","Quentin Tarantino","Reservoir Dogs","March 27, 1963"
4,nm0000217,2018-06-10,2024-03-09,"108217 points","Martin Scorsese","Killers of the Flower Moon","November 17, 1942"
5,nm0000631,2018-06-12,2025-01-21,"86893 points","Ridley Scott","The Martian","November 30, 1937"
6,nm0000399,2018-06-26,2024-03-10,"85245 points","David Fincher","Se7en","August 28, 1962"
7,nm0000709,2018-06-16,2024-02-24,"68954 points","Robert Zemeckis","Back to the Future","May 14, 1952"
8,nm0000040,2018-05-28,2018-06-29,"63606 points","Stanley Kubrick","2001: A Space Odyssey","July 26, 1928"
9,nm0000142,2018-06-07,2025-01-12,"62749 points","Clint Eastwood","Million Dollar Baby","May 31, 1930"
10,nm0000338,2018-06-06,2019-01-10,"58488 points","Francis Ford Coppola","Apocalypse Now","April 7, 1939"
11,nm0001054,2018-06-16,2023-04-27,"53513 points","Joel Coen","The Ballad of Buster Scruggs","November 29, 1954"
12,nm0001104,2018-06-25,2023-07-02,"53131 points","Frank Darabont","The Green Mile","January 28, 1959"
13,nm0005222,2018-06-29,2022-05-26,"49649 points","Sam Mendes","1917","August 1, 1965"
14,nm0000318,2018-06-22,2024-07-01,"42140 points","Tim Burton","Edward Scissorhands","August 25, 1958"
15,nm0000033,2018-05-20,2019-04-02,"41724 points","Alfred Hitchcock","Psycho","August 13, 1899"
16,nm0898288,2018-07-08,2024-01-08,"39532 points","Denis Villeneuve","Dune: Part One","October 3, 1967"
17,nm0000965,2018-06-25,2024-03-03,"38921 points","Danny Boyle","127 Hours","October 20, 1956"
18,nm0000116,2018-06-16,2023-03-28,"38670 points","James Cameron","Avatar","August 16, 1954"
19,nm0000165,2018-06-20,2024-08-15,"37514 points","Ron Howard","Arrested Development","March 1, 1954"
20,nm0680846,2018-07-07,2023-11-16,"34230 points","Todd Phillips","Joker","December 20, 1970"
21,nm0796117,2018-06-29,2023-01-08,"33951 points","M. Night Shyamalan","Signs","August 6, 1970"
22,nm1349376,2018-07-09,2022-11-16,"33947 points","Francis Lawrence","The Hunger Games: Catching Fire","March 26, 1971"
23,nm0027572,2018-06-30,2024-04-25,"33196 points","Wes Anderson","Fantastic Mr. Fox","May 1, 1969"
24,nm0004716,2018-06-28,2023-03-26,"32413 points","Darren Aronofsky","Pi","February 12, 1969"
25,nm0003506,2018-06-28,2025-02-26,"28839 points","James Mangold","Logan","December 16, 1963"
26,nm0005363,2018-06-28,2022-06-26,"28492 points","Guy Ritchie","Sherlock Holmes","September 10, 1968"
27,nm0000108,2018-06-23,2023-11-01,"28206 points","Luc Besson","The Fifth Element","March 18, 1959"
28,nm0893659,2018-07-02,2024-05-10,"26552 points","Gore Verbinski","Rango","March 16, 1964"
29,nm0339030,2018-07-04,2021-05-07,"26241 points","Paul Greengrass","United 93","August 13, 1955"
30,nm0000591,2018-06-01,2018-07-09,"26022 points","Roman Polanski","Chinatown","August 18, 1933"
31,nm0327944,2018-06-30,2020-01-02,"25665 points","Alejandro G. Iñárritu","Biutiful","August 15, 1963"
32,nm0000095,2018-06-07,2018-07-14,"25099 points","Woody Allen","Annie Hall","November 30, 1935"
33,nm0001466,2018-05-31,2018-06-16,"24377 points","Sergio Leone","Once Upon a Time in America","January 3, 1929"
34,nm0001752,2018-06-22,2023-11-01,"24332 points","Steven Soderbergh","Sex, Lies, and Videotape","January 14, 1963"
35,nm0001716,2018-06-17,2024-12-12,"24173 points","Tony Scott","Domino","June 21, 1944"
36,nm2676052,2024-06-12,2025-01-15,"24160 points","Joseph Kosinski","Top Gun: Maverick","May 3, 1974"
37,nm0000416,2018-06-10,2021-04-20,"22977 points","Terry Gilliam","Brazil","November 22, 1940"
38,nm0001060,2018-06-23,2018-07-01,"22925 points","Chris Columbus","Harry Potter and the Sorcerer's Stone","September 10, 1958"
39,nm0286975,2018-06-30,2024-01-16,"22840 points","Marc Forster","World War Z","November 30, 1969"
40,nm0001661,2018-06-16,2019-01-04,"22834 points","Rob Reiner","All in the Family","March 6, 1947"
41,nm0001837,2018-06-14,2018-07-08,"22682 points","Peter Weir","Master and Commander: The Far Side of the World","August 21, 1944"
42,nm0000361,2018-06-14,2021-07-14,"22635 points","Brian De Palma","Body Double","September 11, 1940"
43,nm0000520,2018-06-24,2019-10-19,"22227 points","Michael Mann","The Insider","February 5, 1943"
44,nm0751102,2018-06-29,2018-07-13,"22172 points","David O. Russell","American Hustle","August 20, 1958"
45,nm0001129,2018-06-23,2018-07-07,"22035 points","Jonathan Demme","The Silence of the Lambs","February 22, 1944"
46,nm0000154,2018-06-26,2018-07-14,"21893 points","Mel Gibson","Braveheart","January 3, 1956"
47,nm0001232,2018-06-10,2018-06-29,"21205 points","Milos Forman","One Flew Over the Cuckoo's Nest","February 18, 1932"
48,nm3227090,2018-07-12,2024-04-12,"20868 points","Damien Chazelle","Whiplash","January 19, 1985"
49,nm0001741,2018-06-26,2023-06-26,"20242 points","Bryan Singer","X-Men","September 17, 1965"
50,nm0001880,2018-06-22,2023-07-14,"20096 points","Edward Zwick","Thirtysomething","October 8, 1952"
51,nm0001486,2018-05-29,2023-04-15,"19785 points","Sidney Lumet","12 Angry Men","June 25, 1924"
52,nm0891216,2018-07-09,2024-08-13,"19676 points","Matthew Vaughn","Kick-Ass","March 7, 1971"
53,nm0000759,2018-06-27,2023-05-01,"19379 points","Paul Thomas Anderson","Punch-Drunk Love","June 26, 1970"
54,nm0000500,2018-06-24,2018-07-12,"18652 points","Richard Linklater","Waking Life","July 30, 1960"
55,nm0426059,2021-06-05,2023-03-05,"18640 points","Rian Johnson","Knives Out","December 17, 1973"
56,nm0942367,2019-09-24,2020-01-15,"18390 points","Edgar Wright","Shaun of the Dead","April 18, 1974"
57,nm0000487,2018-06-28,2018-11-21,"18329 points","Ang Lee","Xi yan","October 23, 1954"
58,nm0000231,2018-06-17,2021-09-06,"18137 points","Oliver Stone","JFK","September 15, 1946"
59,nm0443411,2018-06-28,2018-07-09,"17825 points","Tony Kaye","Detachment","1952"
60,nm0001532,2018-06-20,2023-06-12,"17822 points","John McTiernan","Die Hard","January 8, 1951"
61,nm0000386,2018-07-02,2024-05-28,"17713 points","Roland Emmerich","Independence Day","November 10, 1955"
62,nm0868219,2018-07-04,2024-03-06,"17701 points","Guillermo del Toro","El laberinto del fauno","October 9, 1964"
63,nm0905154,2018-06-29,2018-07-02,"17471 points","Lana Wachowski","The Matrix","June 21, 1965"
64,nm0905152,2018-06-29,2018-07-02,"17471 points","Lilly Wachowski","The Matrix","December 29, 1967"
65,nm0005124,2018-06-26,2018-06-29,"17414 points","John Lasseter","Toy Story 2","January 12, 1957"
66,nm0009190,2018-07-04,2021-09-24,"17412 points","J.J. Abrams","Lost","June 27, 1966"
67,nm0001814,2018-06-26,2023-09-27,"17356 points","Gus Van Sant","Elephant","July 24, 1952"
68,nm0298807,2018-06-30,2021-12-21,"17323 points","Antoine Fuqua","Emancipation","May 30, 1965"
69,nm0525303,2018-06-27,2024-09-15,"17280 points","Baz Luhrmann","Moulin Rouge!","September 17, 1962"
70,nm1139726,2018-07-04,2022-11-14,"17120 points","Neil Burger","Divergent","November 22, 1963"
71,nm0821432,2021-05-26,2022-01-25,"16504 points","Chad Stahelski","John Wick: Chapter 4","September 20, 1968"
72,nm1732981,2018-07-06,2023-05-01,"16491 points","Martin McDonagh","In Bruges","March 26, 1970"
73,nm0000184,2018-06-07,2018-06-11,"16410 points","George Lucas","Star Wars","May 14, 1944"
74,nm0001392,2018-06-25,2018-07-07,"16153 points","Peter Jackson","The Lord of the Rings: The Fellowship of the Ring","October 31, 1961"
75,nm0000255,2018-07-05,2018-07-10,"16143 points","Ben Affleck","Argo","August 15, 1972"
76,nm0094435,2018-07-04,2020-12-31,"16113 points","Bong Joon Ho","Snowpiercer","September 14, 1969"
77,nm0393799,2018-07-07,2018-07-13,"16025 points","Tom Hooper","Cats","October 5, 1972"
78,nm0000948,2018-07-03,2021-05-04,"15787 points","Shane Black","Predator","December 16, 1961"
79,nm0574625,2018-07-03,2018-07-03,"15627 points","James McTeigue","V for Vendetta",
80,nm0449984,2018-06-13,2018-06-13,"15602 points","Irvin Kershner","Star Wars: Episode V - The Empire Strikes Back","April 29, 1923"
81,nm0002657,2018-07-10,2024-02-03,"15564 points","Gary Ross","The Hunger Games","November 3, 1956"
82,nm0576987,2018-07-01,2021-05-02,"15433 points","Fernando Meirelles","The Constant Gardener","November 9, 1955"
83,nm0000697,2018-05-22,2018-05-30,"15231 points","Billy Wilder","The Apartment","June 22, 1906"
84,nm0193485,2018-07-07,2024-01-05,"15225 points","Richard Curtis","Love Actually","November 8, 1956"
85,nm0088955,2021-05-24,2021-09-03,"15020 points","Neill Blomkamp","District 9","September 17, 1979"
86,nm0000583,2018-06-14,2022-08-17,"14963 points","Wolfgang Petersen","Das Boot","March 14, 1941"
87,nm0190859,2018-06-28,2019-01-01,"14845 points","Alfonso Cuarón","Gravity","November 28, 1961"
88,nm0718646,2018-07-03,2018-07-11,"14740 points","Jason Reitman","Up in the Air","October 19, 1977"
89,nm0878763,2018-07-09,2018-07-14,"14580 points","Morten Tyldum","The Imitation Game","May 19, 1967"
90,nm0000490,2018-06-22,2021-05-12,"14426 points","Spike Lee","Do the Right Thing","March 20, 1957"
91,nm0000941,2018-06-23,2024-03-20,"13926 points","Kathryn Bigelow","The Hurt Locker","November 27, 1951"
92,nm0005069,2018-06-29,2018-07-11,"13809 points","Spike Jonze","Her","October 22, 1969"
93,nm2588606,2018-07-07,2023-11-08,"13806 points","Steve McQueen","12 Years a Slave","October 9, 1969"
94,nm0336620,2018-07-07,2023-08-27,"13747 points","F. Gary Gray","Set It Off","July 17, 1969"
95,nm0510731,2018-07-01,2022-08-18,"13677 points","Doug Liman","Edge of Tomorrow","July 24, 1965"
96,nm0000118,2018-06-10,2023-05-17,"13527 points","John Carpenter","The Fog","January 16, 1948"
