name,actors
Spy Hard,"['Leslie Nielsen', 'Nicollette Sheridan', 'Charles Durning', 'Marcia Gay Harden', 'Barry Bostwick', 'Andy Griffith']"
Star Trek: First Contact,"['Patrick Stewart', 'Jonathan Frakes', 'Brent Spiner', 'LeVar Burton', 'Michael Dorn', 'Gates McFadden', 'Marina Sirtis', 'Alfre Woodard', 'James Cromwell', 'Alice Krige']"
Striptease,"['Demi Moore', 'Armand Assante', 'Ving Rhames', 'Robert Patrick', 'Burt Reynolds']"
The Stupids,"['Tom Arnold', 'Jessica Lundy', 'Bug Hall', 'Alex McKenna', 'Mark Metcalf', 'Matt Keeslar', 'Christopher Lee']"
The Substitute,"['Tom Berenger', 'Ernie Hudson', 'Diane Venora', 'Glenn Plummer', 'Marc Anthony', 'Luis Guzmán', 'William Forsythe']"
The Sunchaser,"['Woody Harrelson', 'Jon Seda', 'Anne Bancroft']"
Surviving Picasso,"['Anthony Hopkins', 'Natascha McElhone', 'Julianne Moore', 'Joss Ackland', 'Peter Eyre', 'Jane Lapotaire', 'Joseph Maher', 'Bob Peck', 'Diane Venora', 'Joan Plowright']"
Bordello of Blood,"['Dennis Miller', 'Erika Eleniak', 'Angie Everhart', 'Chris Sarandon', 'Corey Feldman']"
Thesis,"['Ana Torrent', 'Fele Martínez', 'Eduardo Noriega', 'Miguel Picazo', 'Javier Elorriaga']"
That Thing You Do!,"['Tom Everett Scott', 'Liv Tyler', 'Johnathon Schaech', 'Steve Zahn', 'Ethan Embry', 'Tom Hanks']"
A Thin Line Between Love and Hate,"['Martin Lawrence', 'Lynn Whitfield', 'Regina King', 'Bobby Brown', 'Daryl Mitchell', 'Roger E. Mosley', 'Della Reese']"
"This World, Then the Fireworks","['Billy Zane', 'Gina Gershon', 'Sheryl Lee', 'Rue McClanahan']"
Tin Cup,"['Kevin Costner', 'Rene Russo', 'Cheech Marin', 'Don Johnson']"
To Gillian on Her 37th Birthday,"['Peter Gallagher', 'Claire Danes', 'Kathy Baker', 'Wendy Crewson', 'Bruce Altman', 'Michelle Pfeiffer']"
Trainspotting,"['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller', 'Kevin McKidd', 'Robert Carlyle', 'Kelly Macdonald']"
The Truth About Cats & Dogs,"['Uma Thurman', 'Janeane Garofalo', 'Ben Chaplin', 'Jamie Foxx']"
Two Much,"['Antonio Banderas', 'Melanie Griffith', 'Daryl Hannah', 'Danny Aiello', 'Joan Cusack', 'Eli Wallach']"
Two If by Sea,"['Sandra Bullock', 'Denis Leary', 'Stephen Dillane', 'Yaphet Kotto', 'Mike Starr']"
Wedding Bell Blues,[]
When We Were Kings,"['Muhammad Ali', 'George Foreman', 'James Brown', 'B.B. King', 'Norman Mailer', 'George Plimpton', 'Spike Lee', 'The Crusaders', 'The Spinners']"
White Squall,"['Jeff Bridges', 'Caroline Goodall', 'John Savage', 'Scott Wolf', 'Jeremy Sisto', 'Balthazar Getty']"
Dead Man on Campus,"['Tom Everett Scott', 'Mark-Paul Gosselaar']"
187,"['Samuel L. Jackson', 'John Heard', 'Kelly Rowan', 'Clifton Collins Jr.']"
3 Ninjas: High Noon at Mega Mountain,"['Hulk Hogan', 'Loni Anderson', 'Victor Wong', 'Mathew Botuchis', ""Michael J. O'Laskey II"", 'James Paul Roeske ll', 'Jim Varney']"
8 Heads in a Duffel Bag,"['Joe Pesci', 'Kristy Swanson', 'David Spade', 'George Hamilton', 'Dyan Cannon', 'Andy Comeau', 'Todd Louiso']"
Absolute Power,"['Clint Eastwood', 'Gene Hackman', 'Ed Harris', 'Laura Linney', 'Judy Davis', 'Scott Glenn', 'E. G. Marshall', 'Dennis Haysbert']"
